CIP13;NOM COURT;PRODUIT;Code EphMRA;Classe EphMRA;"Code
ATC";"Classe
ATC";"Code
ATC 2";"Libellé
ATC 2";Base de remboursement 2016-01;"Nombre de boites remboursées 
2016-01";"Montant remboursé 
2016-01";Base de remboursement 2016-02;"Nombre de boites remboursées 
2016-02";"Montant remboursé 
2016-02";Base de remboursement 2016-03;"Nombre de boites remboursées 
2016-03";"Montant remboursé 
2016-03";Base de remboursement 2016-04;"Nombre de boites remboursées 
2016-04";"Montant remboursé 
2016-04"
3400921601916;MONTELUKAST PHR LAB 10 MG CPR 28;MONTELUKAST PHR LAB;R03J2;ANTIASTHMATIQUES ANTAGONISTES DES LEUCOTRIENES, SYSTEMIQUES;R03DC03;MONTELUKAST;R03;MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES;417 €;29;321 €;458 €;31;322 €;443 €;31;303 €;229 €;16;164 €
3400921604177;RIBAVIRINE ZENTIVA 200 MG CPR 28;RIBAVIRINE ZENTIVA;J05B1;MEDICAMENTS CONTRE L'HEPATITE VIRALE;J05AB04;RIBAVIRINE;J05;ANTIVIRAUX A USAGE SYSTEMIQUE;1 108 €;18;953 €;664 €;11;606 €;609 €;10;609 €;609 €;8;609 €
3400921604696;YELLOX 0,9 MG/ML COLLYRE FL 1/5 ML;YELLOX;S01R;ANTIINFLAMMATOIRES NON STEROIDIENS OPHTALMIQUES;S01BC11;BROMFENAC SODIUM SESQUIHYDRATE;S01;MEDICAMENTS OPHTALMOLOGIQUES;99 393 €;20 070;67 936 €;102 281 €;20 834;70 066 €;112 502 €;22 959;77 199 €;97 542 €;19 748;66 904 €
3400921605068;ESOMEPRAZOLE RPG 20 MG CPR GASTRORESISTANT 28;ESOMEPRAZOLE RPG;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;0 €;0;0 €;7 €;1;7 €;14 €;2;14 €;14 €;2;14 €
3400921606010;ESOMEPRAZOLE RPG 40 MG CPR GASTRORESISTANT 28;ESOMEPRAZOLE RPG;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;8 €;1;8 €;17 €;1;11 €;0 €;0;0 €;0 €;0;0 €
3400921607079;CLARITHROMYCINE PFIZER 250 MG CPR 10;CLARITHROMYCINE PFIZER;J01F;MACROLIDES ET APPARENTES;J01FA09;CLARITHROMYCINE;J01;ANTIBACTERIENS A USAGE SYSTEMIQUE;0 €;0;0 €;0 €;0;0 €;12 €;2;8 €;0 €;0;0 €
3400921607888;ESOMEPRAZOLE BIOGARAN 20 MG CPR GASTRORESISTANT 7;ESOMEPRAZOLE BIOGARAN;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;0 €;0;0 €;2 €;1;1 €;0 €;0;0 €;0 €;0;0 €
3400921607949;ESOMEPRAZOLE BIOGARAN 20 MG CPR GASTRORESISTANT 14;ESOMEPRAZOLE BIOGARAN;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;4 €;1;2 €;0 €;0;0 €;3 €;1;2 €;0 €;0;0 €
3400921608199;ESOMEPRAZOLE BIOGARAN 20 MG CPR GASTRORESISTANT 28;ESOMEPRAZOLE BIOGARAN;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;60 €;7;49 €;43 €;6;31 €;65 €;8;55 €;22 €;3;17 €
3400921609080;AVONEX 30 MCG/0,5 ML SOL INJ STYLO 4/0,5 ML;AVONEX;L03B2;INTERFERONS, BETA;L03AB07;INTERFERON BETA-1A;L03;IMMUNOSTIMULANTS;3 104 564 €;3 827;3 068 772 €;3 098 621 €;3 821;3 061 155 €;3 152 982 €;3 889;3 115 935 €;2 901 164 €;3 575;2 866 260 €
3400921609370;ESOMEPRAZOLE BIOGARAN 40 MG CPR GASTRORESISTANT 14;ESOMEPRAZOLE BIOGARAN;A02B2;INHIBITEURS DE LA POMPE A PROTONS;A02BC05;ESOMEPRAZOLE;A02;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE;4 €;1;3 €;4 €;1;3 €;4 €;1;3 €;16 €;4;12 €
